policy_evaluation_sample_id,source_doc_id,evaluation_tasks,evaluation_reasons,sampling_strata,candidate_error_type_ids,candidate_action,confidence,quality_bin,host,url,chars_before,doc_text_path,prior_review_label,prior_review_correct_action,review_label,review_correct_action,review_good_text_loss_risk,review_false_positive_reason,review_false_negative_error_ids,review_notes
pe_0016_d795a82925,hplt::10_1.jsonl.zst::1766525d6dc3d23efe15d60eee1fc983,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]",[],keep,0.18385125471330127,10,docplayer.gr,http://docplayer.gr/22683-Mes-sti-galini-toy-ieroy-tis-ekklisias-oi-monoi-ihoi-poy-akoygontan-itan-oi-arges-stalagmaties-toy-aimatos-tis-pano-sto-marmarino-dapedo-kai-i.html,30764,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/d795a82925ac1b71.txt,,,,,,,[],
pe_0017_2aacbd3b9c,hplt::10_1.jsonl.zst::178e4eff91b4048ec315d400d73592cb,"[""error_precision_E007"", ""error_precision_E019"", ""wds_bin_10_review""]","[""candidate_error_E007"", ""candidate_error_E019"", ""wds_bin_10_stratum""]","[""error_precision_E007"", ""error_precision_E019"", ""wds_bin_10""]","[""E007"", ""E019""]",quarantine,0.16101132617699263,10,actavestababy.com,https://actavestababy.com/babies/,14595,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/2aacbd3b9c80a748.txt,,,,,,,[],
pe_0018_cbe3b12165,hplt::10_1.jsonl.zst::1a6188d2fa62a9347bf7022793df1f29,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]",[],keep,0.12429378531073447,10,vathikokkino.gr,http://vathikokkino.gr/archives/123750,4956,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/cbe3b121656d7b60.txt,,,,,,,[],
pe_0019_fb706ea524,hplt::10_1.jsonl.zst::1c23557537a6ae6ef5a6ed44556cd32b,"[""host_hotspot_review"", ""wds_bin_10_review""]","[""host_hotspot_www.tovima.gr"", ""wds_bin_10_stratum""]","[""host_hotspot_www.tovima.gr"", ""wds_bin_10""]",[],keep,0.16373705754875995,10,www.tovima.gr,http://www.tovima.gr/culture/article/?aid=173399,8306,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/fb706ea524bf76a5.txt,,,,,,,[],
pe_0020_f07b0cc545,hplt::10_1.jsonl.zst::1fbd938fe31d06c3f9c71e20d3960004,"[""error_precision_E009"", ""error_precision_E010"", ""wds_bin_10_review""]","[""candidate_error_E009"", ""candidate_error_E010"", ""wds_bin_10_stratum""]","[""error_precision_E009"", ""error_precision_E010"", ""wds_bin_10""]","[""E009"", ""E010"", ""E017""]",quarantine,0.210546875,10,docplayer.gr,http://docplayer.gr/132094-Emporio-vasiki-pigi-anaptyxis-kai-apasholisis-gia-tin-ee.html,66375,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/f07b0cc545324545.txt,,,,,,,[],
pe_0021_44e9af8ae9,hplt::10_1.jsonl.zst::2236596dd49ed4856fe7f4e0565fa856,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]",[],keep,0.1567716649731456,10,www.sofiascomments.com,http://www.sofiascomments.com/2016/11/blog-post_52.html,6889,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/44e9af8ae9a3e0f6.txt,,,,,,,[],
pe_0022_1b74ae9c03,hplt::10_1.jsonl.zst::22f331a2c82b756235b1230834a5c543,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E010""]",quarantine,0.1579450164526059,10,docplayer.gr,http://docplayer.gr/1199933-Oi-theseis-toy-ses-gia-tin-antimetopisi-ton-kykloforiakon-provlimaton-stis-poleis-dekemvrios-2010.html,28263,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/1b74ae9c0322dc2f.txt,,,,,,,[],
pe_0023_655d76fdb3,hplt::10_1.jsonl.zst::233d0e489f16775017459a9ca2ee45fa,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E004"", ""E010"", ""E017""]",quarantine,0.16939712486514966,10,docplayer.gr,http://docplayer.gr/501056-Marketingk-tis-polis-ekponisi-shedioy-gia-to-imo-irakleioy-kritis-m-halkiadaki-1-a-efner-2-th-metaxas-3.html,39859,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/655d76fdb3bea4b3.txt,,,,,,,[],
pe_0024_5f3b4692ad,hplt::10_1.jsonl.zst::241b931b5709535b4c1a8aafb906c405,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]",[],keep,0.11044504995458673,10,www.simerini.gr,https://www.simerini.gr/news/%CE%BB%CE%B5%CF%85%CF%84%CE%B5%CF%81%CE%B7%CF%83-%CE%B1%CE%B2%CF%81%CE%B1%CE%BC%CE%B1%CE%BA%CE%B7%CF%83-%CE%B5%CF%80%CE%B9%CF%84%CE%B5%CE%BB%CE%B9%CE%BA%CE%BF-%CE%BC%CF%80%CE%B1%CF%87%CE%B1%CE%BB/,5505,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/5f3b4692ad28bbec.txt,,,,,,,[],
pe_0025_8658ad82a9,hplt::10_1.jsonl.zst::24f31e344ff9a3deeb9a8e11d901be62,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E010"", ""E017""]",quarantine,0.20522875816993463,10,www.travelink.gr,https://www.travelink.gr/%CF%84%CE%B1%CE%BE%CE%B9%CE%B4%CE%B9%CF%89%CF%84%CE%B9%CE%BA%CF%8C%CF%82-%CE%BF%CE%B4%CE%B7%CE%B3%CF%8C%CF%82-%CE%BA%CF%89%CE%BD%CF%83%CF%84%CE%B1%CE%BD%CF%84%CE%B9%CE%BD%CE%BF%CF%8D%CF%80%CE%BF%CE%BB/,6120,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/8658ad82a9ad65ec.txt,,,,,,,[],
pe_0026_4440da601b,hplt::10_1.jsonl.zst::2580d32ccd253cfdeaf22bc257261b1b,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]",[],keep,0.14142029868942396,10,www.culturagenda.com,http://www.culturagenda.com/2016/11/blog-post_28.html,6562,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/4440da601bc8172d.txt,,,,,,,[],
pe_0027_739a0267bc,hplt::10_1.jsonl.zst::280d59dc71de684a2807b63e4f03a9fa,"[""error_precision_E004"", ""wds_bin_10_review""]","[""candidate_error_E004"", ""wds_bin_10_stratum""]","[""error_precision_E004"", ""wds_bin_10""]","[""E004"", ""E010"", ""E017""]",quarantine,0.16573057492026758,10,docplayer.gr,http://docplayer.gr/484167-Emporika-programmata-agapitoi-synergates.html,35431,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/739a0267bc0d0bba.txt,,,,,,,[],
pe_0028_126ed96984,hplt::10_1.jsonl.zst::28ed6a454da3d992a450ce55f80fd728,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]",[],keep,0.15941187850648095,10,greecedestination.gr,https://greecedestination.gr/%CE%B1%CE%BE%CE%B9%CE%BF%CE%B8%CE%AD%CE%B1%CF%84%CE%B1-%CF%83%CF%84%CE%BF-%CE%BD%CE%BF%CE%BC%CF%8C-%CE%BA%CE%BF%CE%B6%CE%AC%CE%BD%CE%B7%CF%82/,10338,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/126ed96984d03fc1.txt,,,,,,,[],
pe_0029_1d196ba634,hplt::10_1.jsonl.zst::2a600f9ad0cd37fe351038830ce29c8a,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]",[],keep,0.24132730015082957,10,drepani.gr,https://drepani.gr/ekpaideusi/item/22192-me-tous-agones-mas-tha-valoume-freno-sti-varvarotita,7956,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/1d196ba63401eb63.txt,,,,,,,[],
pe_0030_543eb5ea30,hplt::10_1.jsonl.zst::2a70c7f5c518a5444dd1d3f41da10f51,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E009"", ""E010""]",quarantine,0.21753908905506458,10,www.candiadoc.gr,https://www.candiadoc.gr/tag/dimos-oropediou-lasithiou/,5884,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/543eb5ea30e8029d.txt,,,,,,,[],
pe_0031_ef7f4d1c98,hplt::10_1.jsonl.zst::2d1495a12d56f9a24d65e5dcf912d2da,"[""action_precision_normalize_or_trim_span"", ""error_precision_E014"", ""host_hotspot_review"", ""wds_bin_10_review""]","[""candidate_action_normalize_or_trim_span"", ""candidate_error_E014"", ""host_hotspot_docplayer.gr"", ""wds_bin_10_stratum""]","[""action_precision_normalize_or_trim_span"", ""error_precision_E014"", ""host_hotspot_docplayer.gr"", ""wds_bin_10""]","[""E014""]",normalize_or_trim_span,1.0,10,docplayer.gr,http://docplayer.gr/7803649-Plirofories-gia-daskaloys-koinonikofs-leitoyrgofs-kai-omades-nzon.html,23698,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/ef7f4d1c98a3e228.txt,,,,,,,[],
pe_0032_0721a29384,hplt::10_1.jsonl.zst::2d4c7466d2d4585f3b9dd087ae283835,"[""error_precision_E007"", ""error_precision_E019"", ""wds_bin_10_review""]","[""candidate_error_E007"", ""candidate_error_E019"", ""wds_bin_10_stratum""]","[""error_precision_E007"", ""error_precision_E019"", ""wds_bin_10""]","[""E007"", ""E010"", ""E019""]",quarantine,0.1468695435270641,10,docplayer.gr,http://docplayer.gr/29677619-Pinakas-1-1-oi-vasikes-diafores-anamesa-stin-akadimaiki-viomihaniki-ereyna.html,20045,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/0721a293847c8e8e.txt,,,,,,,[],
pe_0033_2c4d9a7ef8,hplt::10_1.jsonl.zst::2e9f5f22f5fb4bb7df5f56707278ee6e,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E004"", ""E009"", ""E010"", ""E017""]",quarantine,0.19034213945430922,10,docplayer.gr,http://docplayer.gr/193733-Kentriko-grafeio-peiraia.html,36944,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/2c4d9a7ef8d38470.txt,,,,,,,[],
pe_0034_c122dcdb03,hplt::10_1.jsonl.zst::2f7ddce3e70619e1ce95c3fc7e11925e,"[""action_precision_drop_doc"", ""error_precision_E004"", ""error_precision_E014"", ""error_precision_E017""]","[""candidate_action_drop_doc"", ""candidate_error_E004"", ""candidate_error_E014"", ""candidate_error_E017""]","[""action_precision_drop_doc"", ""error_precision_E004"", ""error_precision_E014"", ""error_precision_E017""]","[""E004"", ""E014"", ""E017""]",drop_doc,1.0,10,docplayer.gr,http://docplayer.gr/1898387-Dlos-a-d-south-east-europe-programme-see.html,39093,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/c122dcdb03f120f7.txt,,,,,,,[],
pe_0035_90489728fa,hplt::10_1.jsonl.zst::2fe0c2631398fafa772a1cf8e992aa1d,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E010"", ""E017""]",quarantine,0.21265473196232185,10,periopton.com,https://periopton.com/2014/12/01/%CF%84%CE%AD%CF%87%CE%BD%CE%B1%CE%BD-%CE%B5%CE%B9%CE%B4%CF%8C%CF%84%CE%B5%CF%82-%CE%B5%CE%BA-%CF%80%CF%81%CE%BF%CF%84%CE%AD%CF%81%CF%89%CE%BD-i/,20277,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/90489728fa74b853.txt,,,,,,,[],
pe_0036_0b125af350,hplt::10_1.jsonl.zst::3089fcdce3a7627fbe87a7d883c6755e,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]",[],keep,0.1704825642831983,10,vickysmagazine.com,https://vickysmagazine.com/2022/05/20/gynaika-tatouaz-afganistan/,5678,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/0b125af35025f1fa.txt,,,,,,,[],
pe_0037_75b763467b,hplt::10_1.jsonl.zst::312f863ecdd38d0041fc2011c814b41b,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]",[],keep,0.17608788811406756,10,docplayer.gr,http://docplayer.gr/334549-Yparhei-noima-zois-simera.html,25669,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/75b763467b937335.txt,,,,,,,[],
pe_0038_97ae683816,hplt::10_1.jsonl.zst::31e0f1e5320833f0c6809e5a32debc82,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]","[""E004"", ""E007"", ""E010"", ""E017"", ""E019""]",quarantine,0.20775238369028795,10,docplayer.gr,http://docplayer.gr/8429375-Leonteio-lykeio-neas-smyrnis-th-sofoyli-2-171-22-nea-smyrni-til-2109418011-fax.html,41742,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/97ae683816d97906.txt,,,,,,,[],
pe_0039_9c03613ac5,hplt::10_1.jsonl.zst::320908e42077b2e48f791723bf995e80,"[""host_hotspot_review"", ""wds_bin_10_review""]","[""host_hotspot_docplayer.gr"", ""wds_bin_10_stratum""]","[""host_hotspot_docplayer.gr"", ""wds_bin_10""]","[""E010"", ""E017""]",quarantine,0.18006504907463375,10,docplayer.gr,http://docplayer.gr/1593876-Oikogeneiakoi-desmoi-eisagogi-se-oloys-toys-anthropoys-yparhei-mesa-toys-i-kalosyni-kai-einai-spanies-oi-periptoseis-poy-mporei-na-min-symvainei.html,34743,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/9c03613ac59d900b.txt,,,,,,,[],
pe_0040_e5ebb8eaa5,hplt::10_1.jsonl.zst::32373b93af09a087073339d9956a2bd5,"[""wds_bin_10_review""]","[""wds_bin_10_stratum""]","[""wds_bin_10""]",[],keep,0.18773946360153257,10,www.tetradia.gr,https://www.tetradia.gr/p/fda,6264,/capstor/scratch/cscs/fffoivos/runs/05_token_distillation_cpt/hplt_cleaning/05_hplt_cleaning_inventory_resume_20260605T165145Z/experiments/review_bundle_20260605T165151Z/docs/e5ebb8eaa510127c.txt,,,,,,,[],
